zip,population_size,kappa,nu,avgsh,sdsh,lon,lat,h_crowding,w_crowding
152,687276,7.811128381,0.174499848,0.009373583,0.0053368,-79.97849756,40.44555122,91.7954831,2189.151549
153,183946,6.171922842,0.231485563,0.009191871,0.00526745,-80.16727037,40.02939815,90.51142986,501.6757881
154,144974,4.141518963,0.349611667,0.009451794,0.005331779,-79.75818806,39.95880299,55.40413794,277.4776885
156,311573,5.97977426,0.183738275,0.009333365,0.005343942,-79.53596429,40.31419286,91.85337777,404.5019947
157,112058,5.154239625,0.194451701,0.009535157,0.005518898,-79.02345,40.72699667,49.1143909,307.7320197
160,193259,4.919372917,0.237858689,0.009220853,0.005343401,-79.88882571,40.92472571,126.7851384,636.3738405
161,223194,4.793904395,0.357371188,0.009254462,0.005413774,-80.3510439,41.16676341,70.69147604,247.682423
162,88423,3.847419806,0.677815692,0.00901416,0.005280571,-79.37938947,40.98757632,55.48900543,216.5744101
164,130386,4.243025679,0.424335251,0.008257046,0.004879181,-80.02534194,41.88757097,47.03579418,192.6880564
165,187498,5.395784938,0.350902063,0.008139476,0.004789974,-80.06092308,42.11173846,67.75263092,669.7924634
166,207861,4.811608179,0.527338306,0.009123327,0.005483876,-78.34414375,40.45898438,81.20883048,309.4233504
170,614895,6.917932326,0.275910919,0.00978557,0.006029161,-77.04095465,40.40125581,79.92026175,1339.206946
172,205144,5.956099853,0.305338155,0.009684347,0.005820925,-77.76838431,40.00106667,64.25881194,326.5297683
173,335600,5.804558805,0.389574939,0.010231618,0.00624009,-76.84303778,39.89903556,92.83160448,432.1285887
175,324354,6.518748365,0.318628997,0.009987064,0.006159988,-76.24467907,40.04403023,96.66795245,420.626255
176,164596,5.703275914,0.305643457,0.009951015,0.006101899,-76.2989,40.057825,118.9590694,786.1956781
180,532190,5.877066978,0.29815351,0.009634022,0.006023978,-75.46297091,40.63597636,76.07904461,986.5045616
183,179674,5.209375315,0.37217691,0.009152435,0.005792133,-75.23668919,41.08576216,86.39384385,370.2775656
186,178420,5.691334225,0.301311321,0.009071382,0.005732797,-76.064125,41.32004444,58.59181809,413.4314277
187,133136,5.733664585,0.175091572,0.009094054,0.005751427,-75.8884625,41.241125,86.07603612,765.8645539
189,366032,6.241490075,0.163394594,0.009796683,0.00601485,-75.16139143,40.34758286,137.4234162,495.9262034
190,1119638,8.470012915,0.117213323,0.009941603,0.006058646,-75.21102687,40.01425075,110.8213064,966.8180897
191,1526206,8.802978392,0.097206468,0.009973446,0.006081817,-75.14805918,39.99648163,92.20988597,2339.9996
193,432250,5.993405302,0.16105253,0.009826906,0.0059575,-75.72431818,39.93771818,137.6992467,1020.340061
194,513490,6.702771558,0.136986817,0.009848014,0.006014275,-75.4264,40.1866871,139.6999389,1112.041625
195,217494,6.043472733,0.202458628,0.00975783,0.006008565,-75.88727674,40.40927674,87.95072445,834.6329464
196,213013,5.35000172,0.250131596,0.009834954,0.006078402,-75.94613,40.3374,87.65184243,874.3977846
197,317868,6.343035922,0.185903537,0.010091388,0.006048297,-75.65156316,39.65093684,132.6642394,1429.801311
198,215619,5.114248778,0.272357929,0.010014723,0.006031127,-75.56769,39.76221,68.04591543,727.0958615
199,364438,6.682322957,0.252057456,0.010385388,0.005985341,-75.43502105,38.84079737,84.01598116,595.4360368
200,599660,8.545077192,0.045696701,0.010641808,0.006189429,-77.02547778,38.91075926,118.9228073,898.8061126
201,840155,8.860022935,0.137892227,0.010930441,0.00636954,-77.6034383,38.91980213,209.8866198,1763.695873
206,336255,7.639591051,0.087128742,0.010666538,0.006190286,-76.71933898,38.39403051,168.51734,375.7033836
207,962250,9.646083972,0.091649927,0.010575163,0.006152474,-76.79975769,38.92081346,157.3590804,1438.113585
208,673979,8.926785723,0.081643783,0.010550035,0.006177206,-77.16881892,39.12024324,177.4946572,2544.391244
209,306902,7.75796608,0.054345865,0.010600921,0.006194526,-77.0120375,39.0419625,159.2392289,799.1998136
210,722965,8.49080866,0.109593911,0.009974144,0.005962936,-76.55425106,39.3559,249.8354419,1256.193705
211,455793,7.981922377,0.099800263,0.010077401,0.005982844,-76.63879667,39.42266333,205.9087659,612.9320912
212,1198635,8.997427021,0.142922624,0.009950526,0.005956453,-76.6051275,39.3153325,115.8160831,1678.04236
214,92106,6.302084398,0.119808757,0.01011461,0.005963067,-76.50298,38.99268,189.2207106,2249.797543
215,104484,5.661939249,0.266172254,0.009700939,0.005612493,-79.02661739,39.58283478,44.05468694,239.4119063
216,169948,5.933257229,0.173735801,0.010497489,0.006129585,-76.05215,38.8485431,56.46701368,220.9766781
217,470957,7.239610429,0.144596318,0.010332767,0.006120063,-77.48293636,39.48400182,145.9596156,431.4148506
218,178170,5.853105951,0.189293514,0.011257302,0.006266683,-75.61946579,38.27003158,64.09583976,334.6497837
219,101117,4.826343687,0.328161131,0.010019334,0.005974997,-75.95843125,39.561875,78.72092604,193.0916984
220,478575,8.518399059,0.066570474,0.010950874,0.006368444,-77.25488421,38.81084211,192.2254877,2395.671748
221,437370,7.530152673,0.108159791,0.011019361,0.006419837,-77.27412941,38.77721176,189.1789523,7091.291171
222,208058,5.615974991,0.136756848,0.010714026,0.006223199,-77.09989091,38.87737273,151.3044575,1241.848612
223,321490,6.421741316,0.132114655,0.010816665,0.006286403,-77.09469286,38.79081429,228.5376099,9458.226709
224,212145,6.586508394,0.20935655,0.01162355,0.006607478,-76.97867826,38.07324783,124.6876246,767.3776302
225,187911,6.160711666,0.338152742,0.011654277,0.006617915,-77.05917778,38.03667778,107.9626804,962.5358186
226,182874,6.267493402,0.16823973,0.010980443,0.006397629,-78.22885862,39.01557586,129.4643513,543.9017921
227,78238,5.358050149,0.553338787,0.011840907,0.006750531,-78.0553303,38.47418788,109.7805602,290.2553423
228,163586,5.161246561,0.595504632,0.011115242,0.00637999,-78.82218214,38.57768929,99.35518577,827.120345
229,251990,6.638966815,0.407252658,0.011457201,0.00645175,-78.60007105,38.01200526,125.3250651,1746.343533
230,220092,5.745143337,0.444053951,0.012270194,0.006668472,-77.14719792,37.60561458,132.2432609,1055.81238
231,360996,6.442334378,0.445069612,0.012246085,0.006618726,-77.09223617,37.57693191,150.3119243,878.0292542
232,536907,7.360419155,0.355712643,0.012367852,0.006671785,-77.48589048,37.5453,130.0144279,1783.114234
233,254189,5.457117125,0.486190989,0.0117457,0.006087658,-75.93206333,37.39543667,148.9924056,1197.901423
234,568313,6.349215347,0.454540359,0.01163181,0.00600151,-75.98897111,37.29673333,169.5010153,1548.581812
235,242803,5.149189187,0.418003186,0.011629248,0.006046261,-76.27344286,36.88637143,133.1489863,1825.096579
236,383702,6.927672952,0.418426676,0.011853286,0.00620063,-76.43899524,37.0994619,160.5110515,4705.39178
238,339999,6.541920208,0.441139279,0.012837587,0.006769321,-77.41090182,36.96752182,127.81493,989.0931083
239,107506,5.544102316,0.761628368,0.012344229,0.006541859,-78.41336857,37.01220571,39.97622053,222.5322473
240,355191,5.366543963,0.562147174,0.010447346,0.005566656,-80.08789268,37.13044878,84.65350763,1177.18824
241,230435,5.233474748,0.579399343,0.010539702,0.005604352,-80.1412125,37.1010175,67.65235863,529.3192552
242,196742,6.306594374,0.364738215,0.010357463,0.005304182,-82.47325909,36.85682273,40.96332101,291.45808
243,153553,5.55756767,0.588651019,0.010233373,0.005347226,-81.11836154,36.83781538,45.2639914,456.031856
244,142810,5.772504768,0.35491264,0.010594094,0.005900406,-79.37373571,38.07299048,78.22750012,534.1989046
245,378568,6.345152312,0.610005388,0.011202461,0.006015854,-79.13136909,37.14177273,80.55228706,527.6013689
246,71506,6.114201248,0.270668218,0.010092488,0.005254512,-81.79485385,37.20647308,49.79476804,260.0188028
249,53365,5.224097215,0.615362983,0.010328202,0.00547811,-80.39210625,37.8762625,36.43246934,268.4756535
253,116525,4.603353084,0.59849789,0.010982111,0.00590123,-81.62879231,38.3597,74.90009487,761.55171
254,177989,6.111460021,0.222282865,0.010464026,0.00624246,-78.06627391,39.41008261,54.62693002,430.4743781
255,141437,5.263751273,0.624651819,0.010474421,0.005636271,-82.16785897,38.2876641,72.68492447,201.5531242
263,89622,5.088980279,0.261416935,0.010034555,0.005578441,-80.53573871,39.19527419,40.38578598,289.674897
264,58002,4.570878452,0.334906872,0.010040189,0.005575695,-80.38993929,39.24053214,34.73699121,307.1718404
265,176585,5.491942304,0.438619553,0.00979094,0.005459558,-80.12957273,39.57346061,64.49317694,1511.544335
267,55633,4.710812613,0.322096526,0.010078541,0.005840229,-78.97946522,39.34347826,28.35818728,178.842312
270,288379,6.631535482,0.39410281,0.011298477,0.005787637,-80.39832059,36.24616176,102.7479277,420.9729007
271,250944,4.575396199,0.59951388,0.011431136,0.005798874,-80.26207778,36.09206667,143.8791208,1631.808933
272,582451,8.397454676,0.42818101,0.011861149,0.005986315,-79.67751316,35.90285526,113.6512783,456.538389
273,379064,7.388730311,0.50912932,0.012099753,0.006064182,-79.58542424,35.93151515,107.587613,381.1222798
274,305168,4.208988711,0.833938242,0.011743762,0.005959118,-79.82516667,36.08528889,147.2506156,1111.634217
275,1058564,9.493802137,0.247960863,0.012813875,0.006331077,-78.58522462,35.88233231,143.9668309,1627.079107
276,489514,7.55558622,0.254386456,0.012793388,0.006327554,-78.65035333,35.82690667,186.7544021,12263.3088
277,256789,5.466587421,0.579556526,0.012456193,0.006232911,-78.8904125,35.986975,167.927319,7628.961223
278,551818,6.841906003,0.44410873,0.013033775,0.006373691,-77.4068358,35.9091679,98.74248364,1075.385537
279,198549,5.73341079,0.39766796,0.012366484,0.006142253,-76.17848596,36.0895807,81.8403113,244.5648198
280,670375,8.32205375,0.481759573,0.012156938,0.006025811,-81.00937556,35.36640889,113.2306338,563.0860654
281,587680,7.667431268,0.409187133,0.0121924,0.00602876,-80.73905476,35.28665952,125.7753329,561.9146469
282,790689,7.951841,0.354711398,0.012219069,0.006037362,-80.82956296,35.20561852,201.2491959,2225.554853
283,830311,9.026349486,0.342334548,0.013339269,0.00635616,-78.96699296,34.98401127,85.85372622,664.5555668
284,469770,7.236846345,0.303996641,0.013234488,0.005886625,-78.23221455,34.31499636,107.7838763,573.7875374
285,496714,7.26098067,0.315903935,0.013299403,0.006107119,-77.07560492,35.00711967,109.4380612,478.7170293
286,632489,8.210419506,0.314204078,0.011347069,0.005791042,-81.3591961,36.08857922,103.9320942,457.016619
287,537926,7.211275076,0.508419814,0.010714579,0.005183153,-82.73232,35.44350143,106.7807311,351.2666666
288,120389,5.01419,0.485216802,0.010893828,0.005305356,-82.54892,35.5942,133.604259,895.8490702
290,419528,6.867485003,0.382663942,0.013839941,0.006326091,-80.81480816,33.96103878,115.1530833,736.7745091
291,371640,6.714193973,0.344252142,0.01396653,0.006395723,-80.88688085,33.88127447,65.27237979,682.6815172
292,333497,6.476009505,0.369800917,0.013759727,0.006291533,-81.00160714,34.03152857,129.8652822,1354.956693
